nome,descricao
Loja / Rua
Loja / Centro comercial
Casa comercial
Hotel / Pousada
Sala comercial
Prédio comercial
Estacionamento
Terreno
Galpão
Quiosque
Box
Espaço para eventos
Deposito / Estoque
Andar / Laje comercial
